from_node,to_node,length_m,travel_time_s,cost
61182955,61323200,94.76,17.06,0
61283119,61283126,104.4,18.79,0
61283119,61321743,135.21,24.34,0
61283119,61283322,42.73,7.69,0
61283126,61321144,102.84,18.51,0
61283126,61331850,133.69,24.06,0
61283126,61283315,42.84,7.71,0
61283218,61324632,451.72,65.05,0
61283218,61283269,833.05,99.97,0
61283218,61317302,110.48,13.26,0
61283269,61321312,267.8,38.56,0
61283269,6100432137,498.62,71.8,0
61283269,61283218,833.05,99.97,0
61283269,61323022,118.65,17.09,0
61283273,61283287,160.37,28.87,0
61283273,61283333,84.89,15.28,0
61283273,61283340,73.03,13.15,0
61283287,61321748,71.87,17.25,0
61283293,568218971,12.87,1.32,1
61283293,61283311,64.26,9.25,0
61283300,61283287,75.46,13.58,0
61283305,61317713,68.35,9.84,0
61283305,61283345,73.18,13.17,0
61283311,61283293,64.26,9.25,0
61283311,61324632,204.07,29.39,0
61283315,61321146,38.72,6.97,0
61283315,61283126,42.84,7.71,0
61283315,61283322,102.4,14.75,0
61283322,61283305,48.46,8.72,0
61283322,61283315,102.4,14.75,0
61283333,61317333,312.81,37.54,1
61283333,4978327603,83,9.96,1
61283333,61283273,84.89,15.28,0
61283340,61327626,64.11,11.54,0
61283340,61283300,157.96,28.43,0
61283340,61283273,73.03,13.15,0
61283345,61283300,40.58,7.3,0
61283350,4406201720,195.79,28.19,0
61283350,61283366,53.84,7.75,0
61283350,61318572,134.85,19.42,0
61283366,61323890,303.42,36.41,0
61283366,61283350,53.84,7.75,0
61283366,6100432137,116.09,16.72,0
61283373,8602936356,14.98,2.7,0
61283373,2742713339,56.5,6.78,0
61283373,61283385,158.86,28.6,0
61283385,9632096589,133.1,15.97,0
61283385,61329857,92.46,16.64,0
61283385,61283373,158.86,28.6,0
61316733,61326047,131.05,15.73,0
61316733,61325507,95.68,11.48,0
61316733,7086766356,85.55,10.27,1
61316736,61316739,177.98,25.63,0
61316736,61324403,46.18,6.65,0
61316739,61324868,47.22,8.5,0
61316739,61328950,122.38,17.62,0
61316739,61316736,177.98,25.63,0
61317281,61328027,94.36,16.98,0
61317281,7590916054,35.44,6.38,0
61317281,61317284,300.67,30.93,1
61317284,11749290935,192.36,19.79,0
61317284,61327635,382.99,39.39,1
61317292,61318066,173.52,20.82,0
