from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
6316199,46379627,42.5,5.1,0.0034,8.13,1
6316199,46389218,225.58,27.07,0.018,43.17,1
25596477,4489285115,81.16,9.74,0.0065,15.53,1
25658579,1334338691,38.0,4.56,0.003,7.27,1
26203121,2311089467,194.33,23.32,0.0155,37.19,1
26203121,494157307,84.16,10.1,0.0067,16.11,1
26206556,46348430,50.15,6.02,0.004,9.6,1
26206556,916874958,96.91,11.63,0.0078,18.55,1
26371846,46341915,45.63,5.48,0.0037,8.73,1
26371846,331526066,139.18,16.7,0.0111,26.63,1
26371856,46339660,143.08,17.17,0.0114,27.38,1
26371856,46334837,58.6,7.03,0.0047,11.21,1
26585460,46410991,67.37,8.08,0.0054,12.89,1
26586128,154528006,121.73,14.61,0.0097,23.29,1
26586128,5828012924,25.7,3.08,0.0021,4.92,1
26596415,46377905,10.01,1.2,0.0008,1.92,1
27219290,275265354,33.24,3.99,0.0027,6.36,1
27219290,469250875,151.54,18.19,0.0121,29.0,1
27219290,46309787,156.51,18.78,0.0125,29.95,1
27471866,46367002,92.17,11.06,0.0074,17.64,1
27471866,46369688,67.17,8.06,0.0054,12.85,1
27471867,46374203,99.43,11.93,0.008,19.03,1
27471867,27471866,67.93,8.15,0.0054,13.0,1
27471867,46371409,81.96,9.84,0.0066,15.68,1
27561854,46311177,217.78,26.13,0.0174,41.67,1
27561854,6948848809,4.95,0.59,0.0004,0.95,1
27561854,46312772,200.27,24.03,0.016,38.32,1
28265319,6933084583,7.12,0.85,0.0006,1.36,2
29529317,12496251385,11.72,1.41,0.0009,2.24,1
29529317,46360122,374.61,44.95,0.03,71.69,1
30118443,46419339,161.4,19.37,0.0129,30.89,1
30118467,5859267005,6.41,0.77,0.0005,1.23,1
30138383,158694434,151.02,36.25,0.0121,28.9,1
30138383,102837532,235.47,56.51,0.0188,45.06,1
30138383,8881939204,34.9,8.38,0.0028,6.68,1
30154649,12687638401,5.69,0.68,0.0005,1.09,1
30154649,46335875,113.54,13.62,0.0091,21.73,1
30154650,46338260,56.05,6.73,0.0045,10.73,1
30154650,12687638403,10.75,1.29,0.0009,2.06,1
30154650,46342440,107.37,12.88,0.0086,20.55,1
30167794,481290959,27.92,3.35,0.0022,5.34,1
30210570,46249143,191.16,22.94,0.0153,36.58,1
30210617,46249143,173.22,20.79,0.0139,33.15,1
30731909,30731914,41.3,4.96,0.0033,7.9,1
30731909,46304906,68.79,8.25,0.0055,13.16,1
30731914,46298484,131.18,15.74,0.0105,25.1,1
30731914,30731909,41.3,4.96,0.0033,7.9,1
30813410,301663836,6.63,0.8,0.0005,1.27,1
31008901,7638757821,3.9,0.47,0.0003,0.75,2
31008901,46483027,124.62,14.95,0.01,23.85,1
31240616,46359871,63.68,7.64,0.0051,12.18,1
31240616,46369747,261.46,31.38,0.0209,50.03,1
31240619,46356347,96.83,11.62,0.0077,18.53,1
31240619,46363752,195.84,23.5,0.0157,37.48,1
31240665,46336500,56.32,6.76,0.0045,10.78,1
31240665,31240668,114.6,13.75,0.0092,21.93,1
31240665,46338006,119.32,14.32,0.0095,22.83,1
31240666,9404576657,20.07,2.41,0.0016,3.84,1
31240666,31240665,119.01,14.28,0.0095,22.77,1
31240668,46332065,56.59,6.79,0.0045,10.83,1
31240668,46327179,113.06,13.57,0.009,21.64,1
31240668,31240666,171.26,20.55,0.0137,32.77,1
31296271,46343533,9.06,1.09,0.0007,1.73,1
31296271,46349435,212.52,25.5,0.017,40.67,1
46166922,46173879,211.88,25.43,0.017,40.55,2
46170100,46176802,208.49,25.02,0.0167,39.9,1
46170100,1791494026,181.54,21.78,0.0145,34.74,1
46170208,46173739,112.14,13.46,0.009,21.46,1
46172390,46172410,79.65,9.56,0.0064,15.24,1
46172410,46173796,47.14,5.66,0.0038,9.02,1
46172410,46172390,79.65,9.56,0.0064,15.24,1
46172410,2016733964,144.62,17.35,0.0116,27.67,1
46172491,46175253,86.3,10.36,0.0069,16.51,1
46172491,46175210,160.67,19.28,0.0129,30.75,1
46172491,9663535960,180.34,21.64,0.0144,34.51,1
46172804,46175567,86.93,10.43,0.007,16.63,1
46172804,46176490,183.43,22.01,0.0147,35.1,1
46172804,46175393,158.46,19.02,0.0127,30.32,1
46172955,46175654,86.28,10.35,0.0069,16.51,1
46172955,9663595777,176.47,21.18,0.0141,33.77,1
46172955,46175653,157.84,18.94,0.0126,30.2,1
46173228,46176048,87.45,10.49,0.007,16.73,1
46173228,46176328,160.09,19.21,0.0128,30.63,1
46173228,46176937,180.45,21.65,0.0144,34.53,1
46173596,46176385,86.49,10.38,0.0069,16.55,1
46173596,46173600,74.77,8.97,0.006,14.31,1
46173596,46177291,176.82,21.22,0.0141,33.84,1
46173600,46176462,88.32,10.6,0.0071,16.9,1
46173600,46173596,74.77,8.97,0.006,14.31,1
46173600,46173776,72.16,8.66,0.0058,13.81,1
46173739,46173769,30.42,3.65,0.0024,5.82,1
46173739,46170208,112.14,13.46,0.009,21.46,1
46173739,46173879,78.96,9.48,0.0063,15.11,1
46173740,46173847,69.37,8.32,0.0055,13.27,1
46173740,46176514,88.29,10.6,0.0071,16.9,1
46173740,46173769,39.58,4.75,0.0032,7.57,1
46173769,46175638,56.98,6.84,0.0046,10.9,1
46173769,46173739,30.42,3.65,0.0024,5.82,1
46173769,46173740,39.58,4.75,0.0032,7.57,1
46173773,46173848,70.29,8.43,0.0056,13.45,1
46173773,46173796,111.93,13.43,0.009,21.42,1
46173773,46178706,142.57,17.11,0.0114,27.28,1
46173775,46176342,78.63,9.44,0.0063,15.05,1
46173775,46173915,92.17,11.06,0.0074,17.64,1
