from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
453768,11767444238,830.22,49.81,0.0664,158.87,3
453805,1990946417,49.28,3.55,0.0039,9.43,4
453805,5132952919,36.77,2.65,0.0029,7.04,3
453805,74574330,277.06,19.95,0.0222,53.02,3
453805,52727137,116.28,13.95,0.0093,22.25,2
453810,52727174,144.79,17.37,0.0116,27.71,1
453810,52727137,154.0,18.48,0.0123,29.47,2
453810,453814,276.92,33.23,0.0222,52.99,2
453810,47744453,271.75,32.61,0.0217,52.0,1
453814,453810,276.92,33.23,0.0222,52.99,2
453814,3112781363,220.29,26.43,0.0176,42.15,2
453814,2681137730,145.09,17.41,0.0116,27.76,1
453816,316676390,103.89,12.47,0.0083,19.88,1
453816,28579781,183.78,13.23,0.0147,35.17,3
453816,52727153,142.41,10.25,0.0114,27.25,3
453818,1413703439,26.23,4.72,0.0021,5.02,1
453818,301216590,5.25,0.94,0.0004,1.0,1
453818,28580591,77.31,9.28,0.0062,14.79,1
453828,847222965,69.04,8.28,0.0055,13.21,1
453833,130113831,75.53,9.06,0.006,14.45,1
453833,47775367,74.9,8.99,0.006,14.33,1
453833,301210179,83.49,10.02,0.0067,15.98,1
453833,81507775,74.56,8.95,0.006,14.27,1
453882,7688768277,398.79,23.93,0.0319,76.31,2
453882,453884,252.26,9.08,0.0202,48.27,3
455416,11249159161,1278.93,46.04,0.1023,244.74,3
455507,390470838,9.74,0.7,0.0008,1.86,2
455507,48932939,65.76,4.73,0.0053,12.58,4
455508,12451387658,11.82,1.42,0.0009,2.26,1
455508,455507,52.88,3.81,0.0042,10.12,2
455518,48935968,94.28,6.79,0.0075,18.04,3
455518,47775370,97.9,7.05,0.0078,18.73,3
455518,317436598,70.5,8.46,0.0056,13.49,1
455526,30825863,57.11,6.85,0.0046,10.93,2
455526,30825860,126.18,9.09,0.0101,24.15,2
455526,568338656,175.18,12.61,0.014,33.52,3
455526,27256999,97.18,11.66,0.0078,18.6,2
455535,455539,155.79,11.22,0.0125,29.81,2
455539,3696182577,222.88,16.05,0.0178,42.65,1
455539,455546,251.33,18.1,0.0201,48.09,2
455546,2923898713,408.52,29.41,0.0327,78.17,2
455546,52727147,238.21,17.15,0.0191,45.58,3
455570,469716,59.69,4.3,0.0048,11.42,4
455570,1990946417,515.46,37.11,0.0412,98.64,3
455590,249092469,32.1,2.31,0.0026,6.14,2
455590,2027070166,42.79,5.13,0.0034,8.19,1
455598,7164891823,219.88,13.19,0.0176,42.08,1
455598,7164891823,219.0,13.14,0.0175,41.91,1
469716,1828996344,11.32,0.81,0.0009,2.17,3
469716,455570,59.69,4.3,0.0048,11.42,4
469716,84486754,300.99,21.67,0.0241,57.6,2
469720,260746808,23.48,1.69,0.0019,4.49,1
469720,260746927,86.72,6.24,0.0069,16.6,3
2114235,1239655958,5.46,0.39,0.0004,1.05,1
2114235,1239656042,157.65,11.35,0.0126,30.17,2
2114250,1638473914,101.03,7.27,0.0081,19.33,2
